dataset,method,seed,avg_accuracy,forgetting,backward_transfer,forward_transfer
split_cifar100,agem,1024,4.18,6.4316,1.5789,0.0
split_cifar100,agem,123,3.88,6.3474,1.8842,0.0
split_cifar100,agem,42,4.47,7.5474,2.0421,0.0
split_cifar100,agem,456,4.19,7.6211,1.6632,0.0
split_cifar100,agem,789,4.87,7.5263,2.7895,0.0
split_cifar100,ewc,1024,1.65,38.5789,-38.5789,0.0
split_cifar100,ewc,123,2.87,35.1263,-35.1263,0.0
split_cifar100,ewc,42,2.0,31.1368,-31.1368,0.0
split_cifar100,ewc,456,1.57,33.7474,-33.7474,0.0
split_cifar100,ewc,789,2.19,38.0842,-38.0842,0.0
split_cifar100,fine_tune,1024,1.47,40.4632,-40.4632,0.0
split_cifar100,fine_tune,123,3.07,35.3474,-35.3474,0.0
split_cifar100,fine_tune,42,2.4,38.2526,-38.2526,0.0
split_cifar100,fine_tune,456,1.47,32.4316,-32.4316,0.0
split_cifar100,fine_tune,789,2.19,40.4316,-40.4316,0.0
split_cifar100,joint_training,1024,48.53,4.5895,14.7158,0.0
split_cifar100,joint_training,123,45.01,6.5474,9.6526,0.0
split_cifar100,joint_training,42,48.04,4.3474,13.8316,0.0
split_cifar100,joint_training,456,47.87,5.2947,10.6,0.0
split_cifar100,joint_training,789,45.75,5.8421,11.8211,0.0
split_cifar100,lwf,1024,2.54,43.6,-43.6,0.0
split_cifar100,lwf,123,2.17,39.2,-39.2,0.0
split_cifar100,lwf,456,2.56,42.2211,-42.2211,0.0
split_cifar100,lwf,789,2.38,33.7263,-33.7263,0.0
